"","tournament","country","penalties_D1","regulation_D1","extra_time_D1","shootout_D1","penalties_D2","regulation_D2","extra_time_D2","shootout_D2","penalties_D3","regulation_D3","extra_time_D3","shootout_D3"
"cups/mwp1-moldovan-cup","Moldovan Cup","Moldova","78","14","3","61","78","14","3","61","78","14","3","61"
"cups/letp-latvian-cup","Latvian Football Cup","Latvia","65","39","1","25","61","35","1","25","60","34","1","25"
"cups/nilc-jbe-league-cup","Irish League Cup","Northern Ireland","64","22","2","40","64","22","2","40","64","22","2","40"
"cups/smp1-coppa-titano","Coppa Titano","San Marino","57","33","0","24","57","33","0","24","48","24","0","24"
"cups/liep-liechtensteiner-cup","Liechtenstein Football Cup","Liechtenstein","54","37","2","15","54","37","2","15","54","37","2","15"
"cups/aspk-azerbaycan-kuboku","Azerbaijan Cup","Azerbaijan","49","28","1","20","49","28","1","20","49","28","1","20"
"cups/ltvp-lithuanian-cup","Lithuanian Football Federation Cup","Lithuania","40","32","0","8","38","30","0","8","29","29","0","0"
"int_cups/usc-uefa-super-cup","Super Cup",NA,"29","4","1","24","29","4","1","24","29","4","1","24"
"cups/andp-copa-constitucio","Copa Constitució","Andorra","13","13","0","0","13","13","0","0","13","13","0","0"
"sum","sum",NA,"60287","40961","423","18903","51007","31781","323","18903","45402","30908","305","14189"
